fid,production
1,5639.16843463346
2,5710.52487000309
3,7.77181536702523
4,7.81375091928937
5,7.58464075609393
6,7.81718744186968
7,7.81375091929172
8,7.81718744187203
9,7.81375091929015
10,7.79278415120906
11,7.8206435264
12,4527.77774816473
13,3665.56824981379
14,4461.94404131324
15,4467.80267822865
16,4461.94404131324
17,4456.1101557441
18,4467.80267822999
19,4450.30089994138
20,4444.5161531975
21,4450.30089994001
22,4860.60946488847
23,3205.46487755897
24,4702.99555964621
25,4880.63507442094
26,2189.17892458317
27,4880.63507442241
28,4317.21866933465
29,4886.03106250965
30,3857.32845728138
31,4819.93490869693
32,4814.38393288531
33,4312.38800074481
34,3076.05263236921
35,3825.12696037583
36,4420.6744417282
37,4424.17600835141
38,4421.78897992821
39,4418.31348206489
40,3825.12696037468
41,4410.25874820132
42,4418.31348206356
43,4414.85276772937
44,3156.09141668054
45,1844.58594571304
46,3372.15215340648
47,3070.3778712087
48,3372.15215340631
49,3339.51842288947
50,13144.4841974517
51,14569.0086458837
52,14569.0086458835
53,13735.3407747786
54,3323.79981232417
55,14554.908069627
56,14585.2624138853
57,15252.011679566
58,14510.4184543418
59,13112.5561529813
60,9731.98215067173
61,14636.9573066351
62,14586.5353617253
63,2803.90718973666
64,3921.29962400604
65,9552.87838136509
66,11878.5121475965
67,10808.4584425134
68,8199.08103200976
69,11087.4383339176
70,11514.4741365059
71,10053.0265145278
72,10443.5959683087
73,12305.1338734851
74,8083.74701540497
75,18296.7247162223
76,16997.8711444437
77,17577.2998336552
78,16430.1088046842
79,17907.7297652562
80,18303.9528533378
81,18665.2150807115
82,13090.9000670094
83,18043.462199541
84,12510.1337916852
85,17830.5987810925
86,18365.7078549032
87,18252.2096523575
88,19276.7000177629
89,19244.8069341644
90,19242.1256653531
91,13329.5281462538
92,13450.5223503084
93,14922.6184995881
94,18917.7745650364
95,17128.7461534463
96,18567.8192902652
97,16484.8508688139
98,18400.2186229801
99,17940.9491385659
100,18340.9138530624
101,18350.7876143641
102,19119.6718389487
103,18145.7475143699
104,18164.2778932
105,19117.0842400128
106,18731.009458765
107,18695.8991859005
108,18792.8296502517
109,19379.2383487896
110,18852.8427257612
111,18852.8427257664
112,18467.6771216865
113,17596.8035435569
114,18730.0227930097
115,18709.0581207738
116,18106.9599549921
117,18715.5171283831
118,18477.7863445026
119,18811.2873369029
120,15350.5872086231
121,15617.361936225
122,16493.5064102921
123,17813.7751432599
124,17834.2751641809
125,19149.7883789878
126,18775.5507865653
127,18894.7422238472
128,19021.9072505916
129,18983.7447963496
130,18403.2036644284
131,18285.5841938294
132,18922.9379100521
133,18698.1268000763
134,18884.6647086803
135,18470.350191604
136,19064.5664801079
137,18825.2166560873
138,2978.05876676036
139,9834.33278855923
140,8453.88781606289
141,8577.91559805834
142,6479.73235297033
143,10169.5836231059
144,5839.09736564442
145,6281.60194190039
146,6293.64778720094
147,6300.21735691429
148,9955.93690833172
149,6891.38761457337
150,7134.98059300895
151,9229.53807811009
152,7101.6372205292
153,9678.19617913224
154,7262.51398585019
155,7417.25170077954
156,6721.37519946408
157,7295.86551443429
158,7325.55165585416
159,7263.81606372705
160,7308.97802268788
161,10045.1451279122
162,7255.68397273446
163,6805.65787214257
164,7293.46002263747
165,7338.92465993965
166,6300.21735691429
167,6691.25885900956
168,7186.75553527884
169,10005.5507696471
170,7110.10751600785
171,6947.78179652621
172,7308.71219624939
173,6017.92463420349
174,7164.32029427601
175,6797.95343415265
176,7440.88102309504
177,7274.57973509286
178,7430.47961768153
179,7334.4694955539
180,7237.11861225328
181,6892.64471519621
182,7163.59527638699
183,7156.13319797409
184,7205.73513192164
185,7351.0737386187
186,7048.69929747917
187,6616.87116410194
188,7342.53111495434
189,7483.56210124412
190,7023.80574445492
191,7577.80901759426
192,7416.42122445855
193,7426.09313631698
194,7109.37083991775
195,7402.08602297691
196,7219.82406269808
197,7194.65327189087
198,7359.65183743203
199,7483.67437014754
200,7467.68361294409
201,3497.06688586061
202,6288.92658880674
203,6731.28235245389
204,7321.36020456523
205,7186.75553527884
206,5800.93005855786
207,7359.65183743203
208,3871.99608414859
209,13223.0035482372
210,10951.3953034684
211,8455.43068885159
212,13447.6267552844
213,13475.404464319
214,13405.4558896066
215,13391.8863223103
216,13461.4870531995
217,13461.4870532029
218,12720.8941057404
219,13360.164032369
220,13112.853164793
221,12438.9183176318
222,13447.6267552851
223,1314.80541514863
224,354.145082994002
225,1805.51697620253
226,879.134499055093
227,1660.70219191146
228,1468.64364577234
229,2294.19036229567
230,2231.22348722689
231,2281.08481151875
232,1054.35755574345
233,2286.03885574535
234,1130.81652960823
235,1210.91603378844
236,1675.02198448167
237,2244.05829110722
238,2171.28181446682
239,1620.83702577179
240,2123.15060231435
241,1497.12642933996
242,1703.6266264903
243,1876.27262530106
244,920.402296252817
245,1975.02381610698
246,1240.29479741129
247,1239.06154587721
248,2244.0582911079
249,2241.5895801159
250,1733.31061554266
251,2373.28227805933
252,1886.36855230096
253,2258.87055705512
254,2352.97648597794
255,2290.96379994294
256,2360.86245660543
257,2293.43251093426
258,308.184737393059
259,1775.38033178366
260,991.329220214421
261,1292.4862153018
262,2398.18478587371
263,2366.29616677316
264,2389.10034783949
265,2169.14681982969
266,2377.00216606287
267,2148.88284667772
268,1463.15173515192
269,2277.33873276809
270,1983.98662481891
271,2323.24151131514
272,832.412858036696
273,796.453992615757
274,2374.41223197193
275,2488.78598852712
276,2414.46351022277
277,2369.12641062238
278,811.481426438941
279,2349.05214329394
280,2406.92616315579
281,2279.88770751183
282,1835.31505056198
283,2462.53344367074
284,2393.66441805618
285,2414.46351022201
